station_line,station,linename,objectid
WHITEHALL STR1,WHITEHALL ST,R1,421
SOUTH FERRYR1,SOUTH FERRY,R1,418
FULTON STACJZ2345,FULTON ST,ACJZ2345,413
FULTON STACJZ2345,FULTON ST,ACJZ2345,402
FULTON STACJZ2345,FULTON ST,ACJZ2345,360
FULTON STACJZ2345,FULTON ST,ACJZ2345,427
CYPRESS HILLSJ,CYPRESS HILLS,J,228
ELDERTS LANEJZ,ELDERTS LANE,JZ,229
FOREST PARKWAYJ,FOREST PARKWAY,J,207
WOODHAVEN BLVDJZ,WOODHAVEN BLVD,JZ,208
104 STA,104 ST,A,98
104 STJZ,104 ST,JZ,14
111 STJ,111 ST,J,209
111 STA,111 ST,A,83
121 STJZ,121 ST,JZ,210
42 ST-PA BUS TEACENQRS1237,42 ST-PA BUS TE,ACENQRS1237,362
34 ST-PENN STAACE,34 ST-PENN STA,ACE,437
FULTON ST2345ACJZ,FULTON ST,2345ACJZ,413
FULTON ST2345ACJZ,FULTON ST,2345ACJZ,402
FULTON ST2345ACJZ,FULTON ST,2345ACJZ,360
FULTON ST2345ACJZ,FULTON ST,2345ACJZ,427
5 AVE-53 STEM,5 AVE-53 ST,EM,142
LEXINGTON-53 STEM6,LEXINGTON-53 ST,EM6,143
ROOSEVELT AVEEFMR7,ROOSEVELT AVE,EFMR7,231
ROOSEVELT AVEEFMR7,ROOSEVELT AVE,EFMR7,438
JAMAICA-179 STF,JAMAICA-179 ST,F,279
47-50 ST-ROCKBDFM,47-50 ST-ROCK,BDFM,349
42 ST-BRYANT PKBDFM7,42 ST-BRYANT PK,BDFM7,60
34 ST-HERALD SQBDFMNQR,34 ST-HERALD SQ,BDFMNQR,145
34 ST-HERALD SQBDFMNQR,34 ST-HERALD SQ,BDFMNQR,366
SUTPHIN BLVDEJZ,SUTPHIN BLVD,EJZ,65
JAMAICA CENTEREJZ,JAMAICA CENTER,EJZ,247
WALL ST23,WALL ST,23,430
PARK PLACE23ACE,PARK PLACE,23ACE,403
WORLD TRADE CTR23ACE,WORLD TRADE CTR,23ACE,409
CHAMBERS STACE23,CHAMBERS ST,ACE23,361
CHAMBERS ST123,CHAMBERS ST,123,404
34 ST-PENN STA123,34 ST-PENN STA,123,358
42 ST-TIMES SQ1237ACENQRS,42 ST-TIMES SQ,1237ACENQRS,80
42 ST-TIMES SQACENQRS1237,42 ST-TIMES SQ,ACENQRS1237,147
42 ST-TIMES SQACENQRS1237,42 ST-TIMES SQ,ACENQRS1237,197
42 ST-TIMES SQACENQRS1237,42 ST-TIMES SQ,ACENQRS1237,359
42 ST-TIMES SQ1237ACENQRS,42 ST-TIMES SQ,1237ACENQRS,80
42 ST-TIMES SQ1237ACENQRS,42 ST-TIMES SQ,1237ACENQRS,147
42 ST-TIMES SQ1237ACENQRS,42 ST-TIMES SQ,1237ACENQRS,197
42 ST-TIMES SQ1237ACENQRS,42 ST-TIMES SQ,1237ACENQRS,359
125 ST1,125 ST,1,287
168 ST-BROADWAY1AC,168 ST-BROADWAY,1AC,58
168 ST-BROADWAY1AC,168 ST-BROADWAY,1AC,177
168 ST-BROADWAYAC1,168 ST-BROADWAY,AC1,58
168 ST-BROADWAYAC1,168 ST-BROADWAY,AC1,177
DYCKMAN ST1,DYCKMAN ST,1,286
207 ST1,207 ST,1,269
215 ST1,215 ST,1,268
MARBLE HILL-2251,MARBLE HILL-225,1,266
231 ST1,231 ST,1,267
BOWLING GREEN45,BOWLING GREEN,45,419
WALL ST45,WALL ST,45,420
BROOKLYN BRIDGE456JZ,BROOKLYN BRIDGE,456JZ,29
BROOKLYN BRIDGEJZ456,BROOKLYN BRIDGE,JZ456,29
CHAMBERS ST456JZ,CHAMBERS ST,456JZ,414
CHAMBERS STJZ456,CHAMBERS ST,JZ456,414
42 ST-GRD CNTRL4567S,42 ST-GRD CNTRL,4567S,31
42 ST-GRD CNTRL4567S,42 ST-GRD CNTRL,4567S,81
42 ST-GRD CNTRL4567S,42 ST-GRD CNTRL,4567S,204
51 ST6,51 ST,6,85
59 ST456NQR,59 ST,456NQR,49
59 ST456NQR,59 ST,456NQR,357
LEXINGTON AVE456NQR,LEXINGTON AVE,456NQR,49
LEXINGTON AVE456NQR,LEXINGTON AVE,456NQR,357
WOODLAWN ROAD4,WOODLAWN ROAD,4,456
149 ST-3 AVE25,149 ST-3 AVE,25,290
5 AVE-BRYANT PK7BDFM,5 AVE-BRYANT PK,7BDFM,466
MAIN ST7,MAIN ST,7,25
NEVINS ST2345,NEVINS ST,2345,128
ATLANTIC AVE2345BDNQR,ATLANTIC AVE,2345BDNQR,116
ATLANTIC AVE2345BDNQR,ATLANTIC AVE,2345BDNQR,121
ATLANTIC AVE2345BDNQR,ATLANTIC AVE,2345BDNQR,122
ATLANTIC AVE2345BDNQR,ATLANTIC AVE,2345BDNQR,123
ATLANTIC AVEBDNQR2345,ATLANTIC AVE,BDNQR2345,116
ATLANTIC AVEBDNQR2345,ATLANTIC AVE,BDNQR2345,121
ATLANTIC AVEBDNQR2345,ATLANTIC AVE,BDNQR2345,123
ATLANTIC AVEBDNQR2345,ATLANTIC AVE,BDNQR2345,122
PACIFIC STBDNQR2345,PACIFIC ST,BDNQR2345,116
PACIFIC STBDNQR2345,PACIFIC ST,BDNQR2345,121
PACIFIC STBDNQR2345,PACIFIC ST,BDNQR2345,123
BERGEN ST23,BERGEN ST,23,4
GRAND ARMY PLAZ23,GRAND ARMY PLAZ,23,115
EASTERN PKWY23,EASTERN PKWY,23,129
NOSTRAND AVE3,NOSTRAND AVE,3,445
CROWN HTS-UTICA34,CROWN HTS-UTICA,34,135
SUTTER AVE3,SUTTER AVE,3,222
SARATOGA AVE3,SARATOGA AVE,3,221
ROCKAWAY AVE3,ROCKAWAY AVE,3,218
JUNIUS ST3,JUNIUS ST,3,217
PENNSYLVANIA AV3,PENNSYLVANIA AV,3,5
VAN SICLEN AVE3,VAN SICLEN AVE,3,46
NEW LOTS AVE3,NEW LOTS AVE,3,213
ST. GEORGE1,ST. GEORGE,1,
2 BDWY CUST SRV45,2 BDWY CUST SRV,45,419
5 AVE-59 STNQR,5 AVE-59 ST,NQR,356
57 ST-7 AVENQR,57 ST-7 AVE,NQR,355
49 ST-7 AVENQR,49 ST-7 AVE,NQR,354
28 ST-BROADWAYNR,28 ST-BROADWAY,NR,144
28 ST-BROADWAYNR,28 ST-BROADWAY,NR,393
23 ST-5 AVENR,23 ST-5 AVE,NR,380
59 ST-COLUMBUS1ABCD,59 ST-COLUMBUS,1ABCD,353
59 ST-COLUMBUS1ABCD,59 ST-COLUMBUS,1ABCD,94
59 ST-COLUMBUSABCD1,59 ST-COLUMBUS,ABCD1,353
59 ST-COLUMBUSABCD1,59 ST-COLUMBUS,ABCD1,94
8 ST-B'WAY NYUNR,8 ST-B'WAY NYU,NR,401
PRINCE ST-B'WAYNR,PRINCE ST-B'WAY,NR,400
MURRAY ST-B'WAYR,MURRAY ST-B'WAY,R,416
CORTLANDT STR,CORTLANDT ST,R,429
JAY ST-METROTECR,JAY ST-METROTEC,R,377
BEEBE-39 AVENQ,BEEBE-39 AVE,NQ,155
WASHINGTON-36 ANQ,WASHINGTON-36 A,NQ,78
BROADWAY-31 STNQ,BROADWAY-31 ST,NQ,79
GRAND-30 AVENQ,GRAND-30 AVE,NQ,304
HOYT ST-ASTORIANQ,HOYT ST-ASTORIA,NQ,251
DITMARS BL-31 SNQ,DITMARS BL-31 S,NQ,252
82 ST-JACKSON H7,82 ST-JACKSON H,7,240
JUNCTION BLVD7,JUNCTION BLVD,7,24
CHURCH AVEBQ,CHURCH AVE,BQ,112
DEKALB AVEBDNQR,DEKALB AVE,BDNQR,15
METROPOLITAN AVM,METROPOLITAN AV,M,424
145 STABCD,145 ST,ABCD,295
BROADWAY-ENYACJLZ,BROADWAY-ENY,ACJLZ,224
BROADWAY-ENYACJLZ,BROADWAY-ENY,ACJLZ,283
BROADWAY-ENYACJLZ,BROADWAY-ENY,ACJLZ,386
167 STBD,167 ST,BD,22
14 ST123FLM,14 ST,123FLM,439
14 ST123FLM,14 ST,123FLM,441
CASTLE HILL AVE6,CASTLE HILL AVE,6,28
WESTCHESTER SQ6,WESTCHESTER SQ,6,202
BOROUGH HALL/CT2345R,BOROUGH HALL/CT,2345R,123
BOROUGH HALL/CT2345R,BOROUGH HALL/CT,2345R,406
BOROUGH HALL/CT2345R,BOROUGH HALL/CT,2345R,378
BOROUGH HALL/CTR2345,BOROUGH HALL/CT,R2345,123
BOROUGH HALL/CTR2345,BOROUGH HALL/CT,R2345,406
BOROUGH HALL/CTR2345,BOROUGH HALL/CT,R2345,378
CHURCH AVE25,CHURCH AVE,25,131
FLATBUSH AVE25,FLATBUSH AVE,25,133
23 STCE,23 ST,CE,436
FORDHAM ROADBD,FORDHAM ROAD,BD,263
7 AVE-53 STBDE,7 AVE-53 ST,BDE,348
PARSONS BLVDF,PARSONS BLVD,F,187
169 STF,169 ST,F,188
50 ST1,50 ST,1,3
242 ST1,242 ST,1,271
CANAL STJNQRZ6,CANAL ST,JNQRZ6,417
CANAL STJNQRZ6,CANAL ST,JNQRZ6,415
CANAL STJNQRZ6,CANAL ST,JNQRZ6,2
FORDHAM ROAD4,FORDHAM ROAD,4,408
MORRISON AVE6,MORRISON AVE,6,51
QUEENSBORO PLZ7NQ,QUEENSBORO PLZ,7NQ,103
90 ST-ELMHURST7,90 ST-ELMHURST,7,241
FRANKLIN AVE2345S,FRANKLIN AVE,2345S,42
FRANKLIN AVE2345S,FRANKLIN AVE,2345S,281
KINGSTON AVE3,KINGSTON AVE,3,136
BROAD STJZ,BROAD ST,JZ,428
175 STA,175 ST,A,180
JAY ST-METROTECACF,JAY ST-METROTEC,ACF,368
SUTPHIN BLVDF,SUTPHIN BLVD,F,246
BERGEN STFG,BERGEN ST,FG,376
KINGS HIGHWAYF,KINGS HIGHWAY,F,326
23 ST6,23 ST,6,92
125 ST456,125 ST,456,468
MOSHOLU PARKWAY4,MOSHOLU PARKWAY,4,274
HUNTERS PT AVE7,HUNTERS PT AVE,7,95
NEWKIRK AVE25,NEWKIRK AVE,25,132
SHEEPSHEAD BAYBQ,SHEEPSHEAD BAY,BQ,328
MYRTLE AVELM,MYRTLE AVE,LM,212
MYRTLE AVELM,MYRTLE AVE,LM,233
W 4 ST-WASH SQABCDEFM,W 4 ST-WASH SQ,ABCDEFM,84
W 4 ST-WASH SQABCDEFM,W 4 ST-WASH SQ,ABCDEFM,206
CANAL STACE,CANAL ST,ACE,410
QUEENS PLAZAEMR,QUEENS PLAZA,EMR,307
FOREST HILLS-71EFMR,FOREST HILLS-71,EFMR,245
ESSEX STFJMZ,ESSEX ST,FJMZ,11
ESSEX STFJMZ,ESSEX ST,FJMZ,370
DELANCEY STFJMZ,DELANCEY ST,FJMZ,11
DELANCEY STFJMZ,DELANCEY ST,FJMZ,370
28 ST6,28 ST,6,200
96 ST6,96 ST,6,33
WAKEFIELD-2412,WAKEFIELD-241,2,280
HUNTS POINT AVE6,HUNTS POINT AVE,6,89
61 ST/WOODSIDE7,61 ST/WOODSIDE,7,54
PARKSIDE AVEBQ,PARKSIDE AVE,BQ,114
NEWKIRK AVEBQ,NEWKIRK AVE,BQ,113
AVE UBQ,AVE U,BQ,329
STILLWELL AVEDFNQ,STILLWELL AVE,DFNQ,469
ROCKAWAY PKYL,ROCKAWAY PKY,L,219
